文本内容:09,deepMoji,valence,arousal,FuMoji,valence,arousal,语音,valence,arousal,说话人性别,句式,有无语气词,情绪起伏大,严肃(工作事务性)/玩笑,批判（反对）/推荐（赞同）,讽刺/赞赏,音量大小
起来了，三点了,起来了！,,,起来了！,,,起来了,,,女,祈使句,无,起伏大,,,,正常
干嘛,干嘛。,,,干嘛。,,,干嘛,,,男,疑问句,有,正常,,,,正常
票定了没,票定了没？👀,,,票定了没？🔫,,,票定了没,,,女,疑问句,无,起伏大,,,,变大
什么票,去三亚的票定了没👀，但你电话都不接你想怎样？🎶,,,去三亚的票定了没🔫，打你电话都不接你想怎样？😈,,,去三亚的票定了没，但你电话都不接你想怎样,,,男,疑问句,无,正常,,,,正常
去三亚的票定了没，但你电话都不接你想怎样,三十天。,,,三十天。,,,三十天,,,女,疑问句,无,起伏大,,,,变大
三十天,几点啊，现在都过了💔，是不是，静音。,,,几点啊，现在都过了😫，是不是，静音。,,,几点啊，现在都过了，是不是，静音,,,男,肯定句,无,正常,,,,正常
几点啊，现在都过了，是不是要静音,你不要看我手机啦🙅，我有调闹钟啊🔫。,,,你不要看我手机啦🙅，我有调闹钟啊🔫。,,,你不要看我手机啦，我有调闹钟啊,,,女,疑问句,无,起伏大,,,,变大
不要看我手机啊,调闹钟然后呢？😳,,,调闹钟然后呢？🤚,,,调闹钟然后呢,,,男,祈使句,有,起伏大,,,,正常
是不是要静音,刚刚打报告然后太累就睡着了😴。,,,刚刚打报告然后太累就睡着了😴。,,,刚刚打报告然后太累就睡着了,,,女,疑问句,无,起伏大,,,,正常
我有调闹钟啊,每周都这样😑。,,,每周都这样😑。,,,每周都这样,,,男,肯定句,有,起伏大,,,,正常
调闹钟然后呢,哎呦。,,,哎呦。,,,哎呦,,,女,疑问句,有,起伏大,,,,变大
刚刚打报告然后太累就睡着了,要手机干嘛😠，要手机干嘛？🎧,,,要手机干嘛😡，要手机干嘛？😈,,,要手机干嘛，要手机干嘛？,,,男,肯定句,无,正常,,,,正常
每次都这样,哦，还好我心牛顿💔。,,,哦，还好我心牛顿💔。,,,哦，还好我心牛顿,,,女,肯定句,无,起伏大,,,,变大
哎,我交给你的事情什么时候做好😔。,,,我交给你的事情什么时候做好😒。,,,我交给你的事情什么时候做好,,,男,肯定句,有,起伏大,,,,正常
要手机干嘛，要手机干嘛？,我不是故意的😔。,,,我不是故意的😞。,,,我不是故意的,,,女,疑问句,有,起伏大,,,,正常
哦，还好有犀牛盾,不是故意😐，每次都睡着睡着睡着😐。,,,不是故意🙅，每次都睡着睡着睡着🙅。,,,不是故意，每次都睡着睡着睡着,,,男,肯定句,有,正常,,,,正常
每次交给你的事情什么时候做好,,,,,,,,,,女,疑问句,无,起伏大,,,,变大
我又不是故意的,,,,,,,,,,男,否定句,无,正常,,,,正常
不是故意， 睡着睡着睡着每次都睡着,,,,,,,,,,女,否定句,无,起伏大,,,,变大
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,变大
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,变大
,,,,,,,,,,,,,,,,,变小